repo_name,file_name,smell_code,type,level,year,file_size,loc,owner_type,language,size,base_image_full,base_image
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3015,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3014,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3009,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3003,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3008,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL4006,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
Atlantic18/CoralCoreBundle,Atlantic18/CoralCoreBundle/Dockerfile,DL4006,DL,warning,2019,227,8,Organization,PHP,81,php:cli,php
Atlantic18/CoralCoreBundle,Atlantic18/CoralCoreBundle/Dockerfile,DL3059,DL,info,2019,227,8,Organization,PHP,81,php:cli,php
Atlantic18/CoralCoreBundle,Atlantic18/CoralCoreBundle/Dockerfile,DL3059,DL,info,2019,227,8,Organization,PHP,81,php:cli,php
Atlantic18/CoralCoreBundle,Atlantic18/CoralCoreBundle/Dockerfile,DL3009,DL,info,2019,227,8,Organization,PHP,81,php:cli,php
Atlantic18/CoralCoreBundle,Atlantic18/CoralCoreBundle/Dockerfile,DL3008,DL,warning,2019,227,8,Organization,PHP,81,php:cli,php
Atlantic18/CoralCoreBundle,Atlantic18/CoralCoreBundle/Dockerfile,DL3015,DL,info,2019,227,8,Organization,PHP,81,php:cli,php
Atlantic18/CoralCoreBundle,Atlantic18/CoralCoreBundle/Dockerfile,DL3059,DL,info,2019,227,8,Organization,PHP,81,php:cli,php
AutoTestNET/AutoTest.ArgumentNullException,AutoTestNET/AutoTest.ArgumentNullException/Dockerfile,DL3045,DL,warning,2019,3272,32,Organization,C#,627,mcr.microsoft.com/dotnet/core/sdk:2.2-alpine,mcr.microsoft.com/dotnet/core/sdk
AutoTestNET/AutoTest.ArgumentNullException,AutoTestNET/AutoTest.ArgumentNullException/Dockerfile,DL4006,DL,warning,2019,3272,32,Organization,C#,627,mcr.microsoft.com/dotnet/core/sdk:2.2-alpine,mcr.microsoft.com/dotnet/core/sdk
AutoTestNET/AutoTest.ArgumentNullException,AutoTestNET/AutoTest.ArgumentNullException/Dockerfile,SC2038,SC,warning,2019,3272,32,Organization,C#,627,mcr.microsoft.com/dotnet/core/sdk:2.2-alpine,mcr.microsoft.com/dotnet/core/sdk
AutoTestNET/AutoTest.ArgumentNullException,AutoTestNET/AutoTest.ArgumentNullException/Dockerfile,DL3018,DL,warning,2019,3272,32,Organization,C#,627,mcr.microsoft.com/dotnet/core/sdk:2.2-alpine,mcr.microsoft.com/dotnet/core/sdk
AutoTestNET/AutoTest.ArgumentNullException,AutoTestNET/AutoTest.ArgumentNullException/Dockerfile,DL3059,DL,info,2019,3272,32,Organization,C#,627,mcr.microsoft.com/dotnet/core/sdk:2.2-alpine,mcr.microsoft.com/dotnet/core/sdk
AutoTestNET/AutoTest.ArgumentNullException,AutoTestNET/AutoTest.ArgumentNullException/Dockerfile,DL3018,DL,warning,2019,3272,32,Organization,C#,627,mcr.microsoft.com/dotnet/core/sdk:2.2-alpine,mcr.microsoft.com/dotnet/core/sdk
AutoTestNET/AutoTest.ArgumentNullException,AutoTestNET/AutoTest.ArgumentNullException/Dockerfile,DL3059,DL,info,2019,3272,32,Organization,C#,627,mcr.microsoft.com/dotnet/core/sdk:2.2-alpine,mcr.microsoft.com/dotnet/core/sdk
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3006,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL4000,DL,error,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3009,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3008,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3015,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3009,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3008,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3015,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3009,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3008,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3015,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3016,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3016,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3042,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3013,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3059,DL,info,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3003,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,SC2164,SC,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,DL3003,DL,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
Azure/azure-sdk-for-python,Azure/azure-sdk-for-python/toolsDockerfile,SC2164,SC,warning,2019,1072,21,Organization,Python,405445,ubuntu,ubuntu
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,DL4000,DL,error,2019,640,15,Organization,C++,7810,centos:6.7,centos
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,DL3032,DL,warning,2019,640,15,Organization,C++,7810,centos:6.7,centos
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,DL3059,DL,info,2019,640,15,Organization,C++,7810,centos:6.7,centos
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,DL3059,DL,info,2019,640,15,Organization,C++,7810,centos:6.7,centos
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,DL3032,DL,warning,2019,640,15,Organization,C++,7810,centos:6.7,centos
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,DL3032,DL,warning,2019,640,15,Organization,C++,7810,centos:6.7,centos
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,DL3033,DL,warning,2019,640,15,Organization,C++,7810,centos:6.7,centos
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,DL3003,DL,warning,2019,640,15,Organization,C++,7810,centos:6.7,centos
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,DL3047,DL,info,2019,640,15,Organization,C++,7810,centos:6.7,centos
BBN-Q/libaps2,BBN-Q/libaps2/dockercentos-6.7Dockerfile,SC1091,SC,info,2019,640,15,Organization,C++,7810,centos:6.7,centos
BinaryAnalysisPlatform/qira,BinaryAnalysisPlatform/qira/dockerDockerfile,DL3015,DL,info,2019,752,13,User,C,67920,ubuntu:16.04,ubuntu
BinaryAnalysisPlatform/qira,BinaryAnalysisPlatform/qira/dockerDockerfile,DL3008,DL,warning,2019,752,13,User,C,67920,ubuntu:16.04,ubuntu
BinaryAnalysisPlatform/qira,BinaryAnalysisPlatform/qira/dockerDockerfile,DL3009,DL,info,2019,752,13,User,C,67920,ubuntu:16.04,ubuntu
BinaryAnalysisPlatform/qira,BinaryAnalysisPlatform/qira/dockerDockerfile,DL3015,DL,info,2019,752,13,User,C,67920,ubuntu:16.04,ubuntu
BinaryAnalysisPlatform/qira,BinaryAnalysisPlatform/qira/dockerDockerfile,DL3008,DL,warning,2019,752,13,User,C,67920,ubuntu:16.04,ubuntu
