#,repo,file_path,commit_url,description,category,affected_instructions,
313,elastic/examples,Miscellaneous/docker/full_stack_example/config/apache2/Dockerfile,https://github.com/elastic/examples/commit/de092266152ce41ffcc6377591be288b9f02337c,add dockerfile,AD,*,
314,europeana/europeana-portal-collections,Dockerfile,https://github.com/europeana/europeana-portal-collections/commit/e3279ec95f35a731ae45c0e12b10812ce38db5bd,"add dependency, update CMD and ENTRYPOINT instructions as suggested by best practices","UBS,ABS","RUN,ENTRYPOINT,CMD",
315,europeana/europeana-portal-collections,Dockerfile,https://github.com/europeana/europeana-portal-collections/commit/98262b9a14fb306bbb1278bb58365e92356093cf,update base image,UBI,FROM,
316,europeana/europeana-portal-collections,Dockerfile,https://github.com/europeana/europeana-portal-collections/commit/77be483770cf35436d240348d10f43a30bd08e47,update base image,UBI,FROM,
317,europeana/europeana-portal-collections,Dockerfile,https://github.com/europeana/europeana-portal-collections/commit/a4b7f9f70366c1d8772f1cb096fc9caba69b00aa,add dockerfile,AD,*,
318,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/b8803fbb45e2ced9ce312dd8fc0a0b7edcd1d528,update virtualenv command,"UBS,RBS","RUN,RUN",
319,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/cabf67dd7ee4488d35c9f7829dc3cab7953cd93a,set default shell,"ABS,UBS","SHELL,RUN",
320,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/8157738766787f98d416304c5cb3536401e083f7,concat multiple RUN commands to reduce layer count,"UBS,MC","RUN,RUN,RUN,RUN",
321,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/b3da9e0c46a8133b020416fccbdac97b88baba6c,update pip before installing dependencies,ABS,RUN,
322,globocom/GloboNetworkAPI-WebU,Dockerfile,https://github.com/globocom/GloboNetworkAPI-WebUI/commit/63a4d3e7cbfba33bb034ff4e64d9146b16e46349,add dockerfile,AD,*,
