repo_name,file_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
Noosfero/noosfero,Noosfero/noosfero/configdockerdevDockerfile,8,2019,570,12,Organization,JavaScript,136338,ruby:2.3-stretch,ruby
Noosfero/noosfero,Noosfero/noosfero/configdockerprodDockerfile,7,2019,597,13,Organization,JavaScript,136338,ruby:2.3-stretch,ruby
Nosto/nosto-magento-extension,Nosto/nosto-magento-extension/Dockerfile,25,2019,3511,57,Organization,PHP,3293,debian:stretch-slim,debian
Nosto/php-sdk,Nosto/php-sdk/Dockerfile,7,2019,627,19,Organization,PHP,5821,php:7.1.27-cli-jessie,php
NotyIm/notyim,NotyIm/notyim/extrasgaiaDockerfile,5,2019,376,10,Organization,Ruby,4776,debian:buster-slim,debian
NumCosmo/NumCosmo,NumCosmo/NumCosmo/Dockerfile,22,2019,1977,61,Organization,C,75677,ubuntu:latest,ubuntu
OCHA-DAP/hdx-ckan,OCHA-DAP/hdx-ckan/contribdockerpostgresqlDockerfile,2,2019,483,8,Organization,Python,243872,mdillon/postgis:11,mdillon/postgis
OSSIA/Score,OSSIA/Score/cmakeDeploymentLinuxAppImageDockerfile,3,2019,766,13,Organization,C++,54507,centos:7,centos
OSSIA/i-score,OSSIA/i-score/cmakeDeploymentLinuxAppImageDockerfile,3,2019,766,13,Organization,C++,54507,centos:7,centos
OpenChemistry/tomviz-superbuild,OpenChemistry/tomviz-superbuild/itk-binarieslinuxDockerfile,6,2019,883,33,Organization,Shell,925,debian:8,debian
OpenChemistry/tomviz,OpenChemistry/tomviz/dockertomviz-tomopy-pipelineDockerfile,4,2019,774,20,Organization,C++,17031,continuumio/miniconda3:latest,continuumio/miniconda3
OpenTidalFarm/OpenTidalFarm,OpenTidalFarm/OpenTidalFarm/dockerDockerfile,12,2019,767,14,Organization,Python,50337,quay.io/dolfinadjoint/dolfin-adjoint:dolfin-adjoint-2017.2.0,quay.io/dolfinadjoint/dolfin-adjoint
Oslandia/qgis-versioning,Oslandia/qgis-versioning/Dockerfile,6,2019,374,13,Organization,Python,2548,debian:sid,debian
PHPMailer/PHPMailer,PHPMailer/PHPMailer/.githubactionsbuild-docsDockerfile,2,2019,433,9,Organization,PHP,6160,phpdoc/phpdoc,phpdoc/phpdoc
Perlmint/glew-cmake,Perlmint/glew-cmake/glew-cmakeDockerfile,2,2019,257,7,User,C,7921,debian:buster-slim,debian
PhenoImageShare/fbbi,PhenoImageShare/fbbi/srcontologyDockerfile,2,2019,33,2,Organization,Makefile,598,cmungall/osk,cmungall/osk
PowerDNS/pdns,PowerDNS/pdns/build-scriptsdockerldap-regressDockerfile,3,2019,263,6,Organization,C++,73434,osixia/openldap:$VERSION,osixia/openldap
Programie/TeamPlaner,Programie/TeamPlaner/Dockerfile,7,2019,1765,43,User,PHP,137,php:7.3-apache,php
Qabel/qabel-drop,Qabel/qabel-drop/composelocaldropDockerfile,4,2019,482,14,Organization,Python,144,python:3.7-alpine,python
Qabel/qabel-drop,Qabel/qabel-drop/composeproductiondropDockerfile,7,2019,776,23,Organization,Python,144,python:3.7-alpine,python
