repo_name,year,file_size,loc,owner_type,language,size,base_image_full,base_image
nossas/nossas-org,2021,657,22,Organization,TypeScript,186647,node:14-alpine,node
nossas/bonde-workers,2021,111,6,Organization,TypeScript,730,node:14-alpine,node
nossas/bonde-redirect,2021,629,17,Organization,Go,2455,golang:1.13,golang
nossas/bonde-apis,2021,292,12,Organization,TypeScript,919,node:14-alpine,node
svirepovden/tg_support_bot,2021,147,6,User,Python,8,python:alpine,python
liwuqi95/detr,2020,328,8,User,Python,13176,pytorch/pytorch:1.5-cuda10.1-cudnn7-runtime,pytorch/pytorch
alexandra-c/conference-app-frontend,2021,776,22,User,JavaScript,392,node:14,node
alexandra-c/conference-app-gql,2021,758,14,User,JavaScript,146,node:14.15-buster,node
afoone/freecrvs,2021,485,19,User,JavaScript,2005,node:current-alpine,node
daniel-kiluange/SpringBootKotlinExemple,2021,312,12,User,Kotlin,64,openjdk:11-slim,openjdk
fernando-lomonaco/conversao-peso,2021,565,13,User,C#,685,mcr.microsoft.com/dotnet/aspnet:5.0,mcr.microsoft.com/dotnet/aspnet
itsMapleLeaf/thoughtbucket-next,2021,265,10,User,TypeScript,1128,node:latest,node
Tamuxx/DockerHub_openvpn_p2p,2021,248,7,User,Shell,29,alpine:3.14.0,alpine
ufoptg/Ultroid,2021,773,8,User,Python,9248,theteamultroid/ultroid:main,theteamultroid/ultroid
betterscrib/scrib,2021,799,7,User,CSS,1763,python:3.9-slim,python
yunusovbekir/task,2021,532,25,User,Python,34,python:3.8-slim,python
pavan-kumar-99/oam-operator,2021,834,16,User,Go,146,gcr.io/distroless/static:nonroot,gcr.io/distroless/static
Jsn2win/kitsune,2020,3537,82,User,None,134482,full-no-locales,full-no-locales
llaville/mega-linter,2021,18053,315,User,Python,22150,python:3.9.7-alpine3.13,python
ScoreTrak/ScoreTrak,2021,592,12,Organization,Go,2856,golang:latest,golang
ScoreTrak/client,2021,813,10,Organization,JavaScript,1058,nginx:alpine,nginx
amine-ouertani/DigitalBeing,2021,1691,31,User,TypeScript,52208,ubuntu:20.04,ubuntu
bitid-open-source-iot/reporting,2021,277,8,Organization,TypeScript,56115,node:14-alpine,node
fjfnaranjo/fjfnaranjo-bot,2020,397,22,User,Python,460,python:3.8.3-alpine,python
Alarid/bookshelf,2021,96,5,User,None,4955,node:16,node
Jeffallan/CYBR8470-building-a-webservice-lab,2018,506,10,User,Python,21,python:2.7.13,python
python-discord/sir-lancebot,2021,658,12,Organization,Python,8218,--platform=linux/amd64,--platform=linux/amd64
seattle-uat/civiform,2021,1269,22,Organization,Java,3978,adoptopenjdk/openjdk11:alpine-slim,adoptopenjdk/openjdk11
tonnytg/finbuild,2021,106,5,User,Go,91,golang,golang
embold/github-action-docker,2021,97,3,Organization,Shell,64,embold/embold-cli:latest,embold/embold-cli
Metriusthehot/desertrose,2021,1548,45,User,DM,991680,dm_base,dm_base
pharaujo/grafana,2021,2680,65,User,None,440139,alpine:3.14.2,alpine
iExecBlockchainComputing/iexec-core,2020,140,3,Organization,Java,2372,openjdk:11.0.7-jre-slim,openjdk
stevsmit/openshift-docs,2020,193,5,User,HTML,460333,centos:8,centos
JoeZhang229/BrewOver,2021,592,17,User,Python,55036,python:3.9,python
vas3k/vas3k.club,2021,731,23,User,Python,11586,ubuntu:20.04,ubuntu
opayne1/openshift-docs,2020,193,5,User,HTML,476134,centos:8,centos
savinov-vy/shop,2020,306,9,User,Java,1809,openjdk:8,openjdk
spirit1431007/netdata,2020,29,1,User,C,67942,,
gatsby-tv/gatsby,2021,851,29,Organization,TypeScript,14048,node:alpine,node
eigr/massa,2021,2517,55,Organization,Elixir,505,alpine:3,alpine
USATUKirill96/circleci-integration,2021,160,6,User,TypeScript,63,mcr.microsoft.com/playwright:v1.15.0-focal,mcr.microsoft.com/playwright
anipos/sparrow,2021,618,16,Organization,Ruby,291,base,base
owaspvit/project_tools,2021,340,10,Organization,Python,29367,ubuntu:latest,ubuntu
JustinBarnard1/wc,2020,152,4,User,C#,901,mcr.microsoft.com/dotnet/core/sdk:3.1,mcr.microsoft.com/dotnet/core/sdk
MelnykovMaksym/Project,,198,8,User,Python,40,python:3.9.6-slim-buster,python
