repo_name,smell_code,type,level,year,file_size,loc,owner_type,language,size
jarvis-network/synthereum,DL4006,DL,warning,2021,3933,57,Organization,TypeScript,42478
jarvis-network/synthereum,DL3018,DL,warning,2021,3933,57,Organization,TypeScript,42478
jarvis-network/synthereum,DL3022,DL,warning,2021,3933,57,Organization,TypeScript,42478
jarvis-network/synthereum,DL3022,DL,warning,2021,3933,57,Organization,TypeScript,42478
Vishakha6/mesmer-inference-plugin,SC1083,SC,warning,2021,1366,25,User,Python,23
Vishakha6/mesmer-inference-plugin,DL3027,DL,warning,2021,1366,25,User,Python,23
Vishakha6/mesmer-inference-plugin,DL3042,DL,warning,2021,1366,25,User,Python,23
Vishakha6/mesmer-inference-plugin,DL3042,DL,warning,2021,1366,25,User,Python,23
lazorikv/spent_money,DL3018,DL,warning,2021,445,11,User,Python,7
lazorikv/spent_money,DL3013,DL,warning,2021,445,11,User,Python,7
lazorikv/spent_money,DL3042,DL,warning,2021,445,11,User,Python,7
lazorikv/spent_money,DL3042,DL,warning,2021,445,11,User,Python,7
StrawnSC/azure-cli,DL3018,DL,warning,2021,2905,42,User,Python,337562
StrawnSC/azure-cli,DL3013,DL,warning,2021,2905,42,User,Python,337562
StrawnSC/azure-cli,DL3000,DL,error,2021,2905,42,User,Python,337562
StrawnSC/azure-cli,DL3018,DL,warning,2021,2905,42,User,Python,337562
StrawnSC/azure-cli,DL4006,DL,warning,2021,2905,42,User,Python,337562
StrawnSC/azure-cli,DL3025,DL,warning,2021,2905,42,User,Python,337562
richievzqz/metaplex,DL3018,DL,warning,2021,1231,21,User,Rust,30413
sanith2005/Media-Search-bot,DL3042,DL,warning,2021,146,6,User,Python,354
sanith2005/Media-Search-bot,DL3025,DL,warning,2021,146,6,User,Python,354
Xenfo/maintainer-bot,DL3027,DL,warning,2021,460,19,User,TypeScript,3291
Xenfo/maintainer-bot,DL3027,DL,warning,2021,460,19,User,TypeScript,3291
Xenfo/maintainer-bot,DL3027,DL,warning,2021,460,19,User,TypeScript,3291
Xenfo/maintainer-bot,DL3027,DL,warning,2021,460,19,User,TypeScript,3291
Xenfo/maintainer-bot,DL3016,DL,warning,2021,460,19,User,TypeScript,3291
mcaj-old/wordpress-nginx-docker-compose,DL3006,DL,warning,2020,827,9,Organization,CSS,11532
mcaj-old/wordpress-nginx-docker-compose,DL3008,DL,warning,2020,827,9,Organization,CSS,11532
mcaj-old/wordpress-nginx-docker-compose,DL3003,DL,warning,2020,827,9,Organization,CSS,11532
SergeyMashedo/aws-cdk-runtime-win,DL3020,DL,error,2021,2259,31,User,None,25
searxng/searxng,DL3013,DL,warning,2021,2911,79,Organization,Python,13820
searxng/searxng,DL3018,DL,warning,2021,2911,79,Organization,Python,13820
searxng/searxng,DL3042,DL,warning,2021,2911,79,Organization,Python,13820
void00r/RadioPlayerV3,DL3007,DL,warning,2021,429,11,User,Python,94
void00r/RadioPlayerV3,DL3027,DL,warning,2021,429,11,User,Python,94
void00r/RadioPlayerV3,DL3027,DL,warning,2021,429,11,User,Python,94
void00r/RadioPlayerV3,DL3013,DL,warning,2021,429,11,User,Python,94
void00r/RadioPlayerV3,DL3042,DL,warning,2021,429,11,User,Python,94
void00r/RadioPlayerV3,DL3003,DL,warning,2021,429,11,User,Python,94
void00r/RadioPlayerV3,DL3042,DL,warning,2021,429,11,User,Python,94
DennisOsei/Recipe_API,DL3018,DL,warning,2021,585,19,User,Python,63
DennisOsei/Recipe_API,DL3018,DL,warning,2021,585,19,User,Python,63
DennisOsei/Recipe_API,DL3042,DL,warning,2021,585,19,User,Python,63
franck-djacoto/annonce-crud-service,DL3025,DL,warning,2021,144,9,User,Go,29
Regabs/Genarate-PDF-Python,DL3042,DL,warning,2020,332,7,User,Python,470
officialcjunior/rizin,SC2039,SC,warning,2021,2438,45,User,C,128221
officialcjunior/rizin,DL3008,DL,warning,2021,2438,45,User,C,128221
officialcjunior/rizin,DL3013,DL,warning,2021,2438,45,User,C,128221
officialcjunior/rizin,DL3042,DL,warning,2021,2438,45,User,C,128221
officialcjunior/rizin,DL3042,DL,warning,2021,2438,45,User,C,128221
